experiment_name,game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed,board_rows,board_cols,simulations,thompson_alpha_prior,thompson_beta_prior,uct_exploration_constant,uct_progressive_bias_weight,rollout_epsilon,expansion_epsilon,rollout_depth_limit,guided_expansion,heuristic_rollouts,root_safety,root_lookahead,heuristic_cutoff
11_enhanced_thompson_vs_enhanced_uct,11,6,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,32,0,39.7885783,20.7710706,19.0119665,16,16,1.298191912,1.188247906,100010,100011,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,12,6,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,38.1947513,18.5417857,19.6475378,16,16,1.158861606,1.227971112,100011,100010,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,13,7,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,39.8236633,20.7030979,19.1147307,16,16,1.293943619,1.194670669,100012,100013,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,14,7,WHITE,BLACK,UCT_WIN,BLACK,16,20,-4,32,0,38.4838297,18.636934,19.8416965,16,16,1.164808375,1.240106031,100013,100012,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,15,8,BLACK,WHITE,UCT_WIN,WHITE,17,19,-2,32,0,38.3095283,20.1079877,18.1963695,16,16,1.256749231,1.137273094,100014,100015,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,16,8,WHITE,BLACK,THOMPSON_WIN,WHITE,25,10,15,32,1,38.7311414,18.5706605,20.1548088,16,16,1.160666281,1.25967555,100015,100014,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,17,9,BLACK,WHITE,UCT_WIN,WHITE,5,31,-26,34,2,40.1211416,20.8793054,19.2360515,17,17,1.228194435,1.131532441,100016,100017,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,18,9,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,33,1,38.8439278,18.7515246,20.0871745,16,17,1.171970288,1.1815985,100017,100016,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,19,10,BLACK,WHITE,UCT_WIN,WHITE,15,20,-5,31,0,37.9101776,19.9008208,18.0039532,16,15,1.2438013,1.200263547,100018,100019,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,20,10,WHITE,BLACK,THOMPSON_WIN,WHITE,23,13,10,32,0,38.7310148,18.7902972,19.9353955,16,16,1.174393575,1.245962219,100019,100018,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,21,11,BLACK,WHITE,THOMPSON_WIN,BLACK,23,13,10,33,1,38.5299677,20.218449,18.3061747,17,16,1.189320529,1.144135919,100020,100021,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,22,11,WHITE,BLACK,UCT_WIN,BLACK,13,23,-10,32,0,38.6352032,18.7130949,19.9166082,16,16,1.169568431,1.244788012,100021,100020,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,23,12,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,34,2,39.7208674,20.6322975,19.0817311,17,17,1.213664559,1.122454771,100022,100023,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
